id,title,description,link,image_link,additional_image_link,availability,price,sale_price,sale_price_effective_date,google_product_category,brand,MPN,condition,age_group,color,gender,material,size,store_code
001-140-00374,"Platinum/white Engagement Ring Halo Set With Diamond,zironcium",5.8 6.2mm..001 140 00374 2618rd6 Platinum White Platinum  tacori Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00374,https://s4.v360.in/images/company/308/imaged/001-140-00374/bA101.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00374/bA103.jpg,in stock,4710,,,200,Tacori,2618RD6,new,adult,White,female,platinum,6.5,515
001-115-02377,Platinum/white Lady's Band Three Quarters Set With Diamond,1.75cttw Dia Band.001 115 02377 Mr1705 Platinum White Platinum  simon G Three Quarters  lady's Band Three Quarte  ladys  lady ,https://www.ltdenny.com/shop/001-115-02377,https://s4.v360.in/images/company/308/imaged/001-115-02377/bA42.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02377/bA44.jpg,in stock,6820,,,200,Simon G,MR1705,new,adult,White,female,platinum,6.5,515
001-110-00541,18kwg/white Gent's Band Metal,6mm. Woodgrain Finish.001 110 00541 71 29030 0 18kwg White Gold  furrer Jacot Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00541,https://s4.v360.in/images/company/308/imaged/001-110-00541/bA19.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00541/bA21.jpg,in stock,2740,,,200,LTDenny,71-29030-0,new,adult,White,male,18KWG,10.25,515
001-140-00382,"Platinum/white Engagement Ring Solitaire Set With Zironcium,diamond",Insignia Solitaire.001 140 00382 Ins7075r Platinum White Platinum  verragio Solitaire  engagement Ring,https://www.ltdenny.com/shop/001-140-00382,https://s4.v360.in/images/company/308/imaged/001-140-00382/bA29.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00382/bA31.jpg,in stock,2900,,,200,Verragio,INS7075R,new,adult,White,female,platinum,6.25,515
001-115-02383,18kyg/yellow Lady's Band Half Way Set With Ruby,"14=.95ct Ttw Channel Set Ruby Band.001 115 02383 R410 18kyg Yellow Gold  samuel Jewels, Inc. Half Way  lady's Band Ladys  lady ",https://www.ltdenny.com/shop/001-115-02383,https://s4.v360.in/images/company/308/imaged/001-115-02383/bA65.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02383/bA67.jpg,in stock,1375,,,200,LTDenny,R410,new,adult,Yellow,female,18KYG,6,515
001-110-00567,18kwg/18kyg/white/yellow Gent's Band Metal,7mm Brush Finish Crescent Design.001 110 00567 130 7wyb 18kwg/18kyg White/yellow Gold  tacori Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00567,https://s4.v360.in/images/company/308/imaged/001-110-00567/bA10.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00567/bA12.jpg,in stock,3340,,,200,Tacori,130-7WYB,new,adult,White/Yellow,male,18KWG/18KYG,10.25,515
001-140-00391,"Platinum/white Engagement Ring Halo Set With Zironcium,diamond",Solo Filo Engagement .57ct.001 140 00391 Se100 Platinum White Platinum  danhov Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00391,https://s4.v360.in/images/company/308/imaged/001-140-00391/bA32.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00391/bA34.jpg,in stock,6100,,,200,Danhov,SE100,new,adult,White,female,platinum,6.5,515
001-115-02390,18kwg/white Lady's Band Plain,Vertical Etching Guard Band.001 115 02390 Guardbands1 18kwg White Gold  ltdenny Plain  lady's Band Ladys  lady ,https://www.ltdenny.com/shop/001-115-02390,https://s4.v360.in/images/company/308/imaged/001-115-02390/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02390/bA3.jpg,in stock,475,,,200,LTDenny,GuardBands1,new,adult,White,female,18KWG,6,515
001-110-00584,18kwg/18krg/white/rose Gent's Band Metal,7mm Hammer Finsih.001 110 00584 130 7wrh 18kwg/18krg White/rose Gold  tacori Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00584,https://s4.v360.in/images/company/308/imaged/001-110-00584/bA29.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00584/bA31.jpg,in stock,3340,,,200,Tacori,130-7WRH,new,adult,White/Rose,male,18KWG/18KRG,10,515
001-140-00396,"Platinum/white Engagement Ring Halo Set With Zironcium,diamond",Per Lei Engagement Ring.001 140 00396 Le117 Platinum White Platinum  danhov Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00396,https://s4.v360.in/images/company/308/imaged/001-140-00396/bA57.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00396/bA59.jpg,in stock,5320,,,200,Danhov,LE117,new,adult,White,female,platinum,6.5,515
